lsoa.code,lsoa.popn
E01012171,1431
E01012172,1381
E01012162,1463
E01012163,2174
E01012164,1589
E01012165,2209
E01012096,1616
E01012136,1427
E01033473,2137
E01012112,1467
E01012145,1476
E01012147,1590
E01012149,1203
E01012132,2030
E01012134,1447
E01012137,1361
E01012181,1691
E01012117,1415
E01012118,1353
E01012119,2136
E01012121,1357
E01032548,1563
E01032549,1657
E01033472,2528
E01012120,1351
E01012124,1427
E01012182,1417
E01012183,1540
E01012148,1414
E01012150,1532
E01012151,1470
E01012152,1560
E01032594,1368
E01012146,1250
E01012167,1476
E01012168,1916
E01012170,1379
E01012173,1158
E01012174,1108
E01033470,1776
E06000004,191824
E01012242,1519
E01012243,1607
E01012244,1440
E01012246,1449
E01012296,1368
E01012297,2645
E01012197,2040
E01012256,1319
E01012257,1428
E01012275,1543
E01012276,1607
E01012277,1667
E01012196,1666
E01012198,1475
E01012214,1664
E01012215,1308
E01012216,1301
E01012245,1607
E01012278,1336
E01012279,1776
E01012280,1571
E01012281,1311
E01012255,1420
E01012269,1667
E01012294,1209
E01012295,1211
E01033476,1643
E01033480,1634
E01012210,1586
E01012211,1843
E01012212,1470
E01012213,1397
E01012192,1579
E01012193,1560
E01012260,1645
E01012261,1510
E01012247,1282
E01012249,1580
E01012271,1494
E01012272,1064
E01012273,1589
E01012274,1344
E01012248,1428
E01012250,1460
E01032542,1127
E01032543,2224
E01032544,2042
E01012194,1549
E01012195,1567
E01012258,2048
E01012259,1770
E01012268,1660
E01012187,1400
E01012188,1203
E01012189,1397
E01012205,1399
E01012219,1774
E01012251,1666
E01012252,1553
E01012253,1307
E01012254,1437
E01012204,1300
E01012206,1461
E01012207,1924
E01012208,1648
E01012262,2234
E01012264,2399
E01012266,2438
E01012267,1666
E01033477,2543
E01012190,1497
E01012191,1654
E01012224,1786
E01012225,1527
E01012226,1375
E01012209,1711
E01012217,1550
E01012218,1583
E01012223,1561
E01012286,1448
E01012287,2326
E01012288,1473
E01012289,1283
E01012238,1548
E01012239,2017
E01012240,1786
E01012241,1492
E01012290,1750
E01012291,1816
E01012292,2330
E01012282,1303
E01012283,1331
E01012284,1551
E01012285,1324
E01012199,1445
E01012200,2005
E01012201,1806
E01012202,1506
E01012203,1804
E01012270,1372
E01012228,1422
E01012230,1589
E01012233,1438
E01012236,1352
E01012237,1364
E01012227,1567
E01012231,2029
E01012232,1435
E01012234,1697
E01033474,1665
E01033475,1855
E01033478,1898
E01033479,1814
E01012235,1359
E01012298,1391
E01012299,1483
E01012300,1510
E01012301,1369
E01012302,1247
E01012303,1382
E08000020,200349
E01008246,1456
E01008247,1617
E01008248,1746
E01008249,1552
E01008250,1473
E01008195,2070
E01008197,1489
E01008198,1431
E01008199,1378
E01008200,1335
E01008245,1439
E01008214,1677
E01008215,1603
E01008243,1524
E01008244,2067
E01008178,1726
E01008180,1518
E01008182,1645
E01008277,1535
E01008280,1859
E01008177,1469
E01008179,1227
E01008181,1480
E01008276,1463
E01008279,1464
E01008209,2102
E01008210,1394
E01008258,2332
E01008259,1920
E01008167,1674
E01008169,1676
E01008170,2014
E01008171,1489
E01008257,1441
E01008262,1787
E01008263,1539
E01008264,1415
E01008265,1481
E01008266,1363
E01008251,1763
E01008252,1770
E01008253,1721
E01008254,1356
E01008255,1743
E01008165,1399
E01008201,1598
E01008202,1876
E01008204,1540
E01008212,1389
E01008213,1484
E01008216,1552
E01008228,1195
E01008206,1746
E01008207,1454
E01008208,1652
E01008211,1709
E01008283,1309
E01008284,1468
E01008286,1490
E01008287,2066
E01008231,1593
E01008240,1517
E01008241,1636
E01008242,1674
E01008281,1502
E01008282,1481
E01008219,1726
E01008235,1467
E01008236,1512
E01008237,1559
E01008238,1554
E01008267,1528
E01008269,1487
E01008270,1321
E01008271,1409
E01008275,1500
E01008229,1376
E01008230,1394
E01008232,1389
E01008233,1375
E01008285,1435
E01008256,1772
E01008260,1552
E01008261,1466
E01008268,1476
E01008272,1417
E01008273,1473
E01008274,1457
E01008193,1267
E01008194,1388
E01008234,2122
E01008239,1525
E01008218,1636
E01008220,1286
E01008221,1738
E01008225,1688
E01008227,1713
E01008184,1409
E01008185,1412
E01008188,1461
E01008278,1427
E01008189,1385
E01008190,1290
E01008191,1483
E01008192,1433
E01008217,1564
E01008183,1480
E01008186,1965
E01008187,1671
E01008196,1919
E01008222,1526
E01008223,1780
E01008224,1851
E01008226,1499
E01008172,1698
E01008173,1606
E01008174,2089
E01008175,1472
E01008176,1492
E01008162,2386
E01008164,1325
E01008166,1572
E01008168,2249
E01008163,2013
E01008203,1789
E01008205,1542
E08000021,279092
E01008294,1511
E01008306,1632
E01008307,1029
E01008308,1391
E01008311,1674
E01008312,1264
E01008313,1216
E01008309,1826
E01008352,1481
E01008357,1640
E01008358,1476
E01033550,2037
E01033551,1753
E01008336,1363
E01008337,1440
E01008338,1259
E01008339,1453
E01008340,1486
E01008341,1426
E01008342,1382
E01008293,1443
E01008456,1493
E01008457,1560
E01008458,1654
E01008459,1969
E01008460,1542
E01008351,1469
E01008354,1706
E01008418,2001
E01008420,1342
E01008422,1643
E01008424,1727
E01008353,1534
E01008355,1551
E01008356,1519
E01008378,1448
E01008419,1514
E01008421,1526
E01008423,1391
E01008317,1525
E01008319,1867
E01008320,1460
E01008321,1739
E01008322,1529
E01008323,1666
E01008295,1585
E01008374,1581
E01008375,1507
E01008376,1198
E01008377,2195
E01008379,1523
E01008380,1705
E01008296,1408
E01008297,1395
E01008298,1501
E01008299,1342
E01008314,1495
E01008315,1555
E01008316,1610
E01008318,1406
E01008363,1579
E01008365,1677
E01008366,2067
E01008369,1978
E01008371,1361
E01008372,1914
E01008373,2327
E01008400,1321
E01008401,1510
E01008402,1476
E01008403,1449
E01008404,1640
E01008405,1418
E01008443,1438
E01008324,1349
E01008325,1418
E01008326,1481
E01008327,1297
E01008328,1267
E01008329,1459
E01008330,1386
E01008300,1667
E01008450,1477
E01008451,1778
E01008452,1429
E01008367,2165
E01008368,1799
E01008370,1692
E01008409,1699
E01008411,1756
E01008303,1973
E01008359,1591
E01008360,1648
E01008361,1579
E01008362,1777
E01008364,1671
E01008343,1548
E01008344,1599
E01008345,1594
E01008346,1632
E01008347,1429
E01008348,1175
E01008349,1563
E01008350,1298
E01008430,1351
E01008431,1350
E01008433,1377
E01008434,1476
E01008435,1474
E01008436,1479
E01008381,1373
E01008382,1334
E01008383,1494
E01008384,1396
E01008385,1398
E01008386,1367
E01008387,1365
E01008396,2984
E01008398,1684
E01008449,1765
E01008453,1666
E01008455,1633
E01033556,2487
E01008406,1544
E01008407,2779
E01008410,1709
E01008412,1643
E01008413,1458
E01033548,1107
E01033553,2589
E01008394,1440
E01008395,1506
E01008397,1777
E01008399,1894
E01008439,1819
E01033543,1288
E01033545,1167
E01033554,1299
E01008415,1213
E01008416,1690
E01033547,2115
E01008301,1767
E01008302,1634
E01008304,1887
E01008305,2166
E01008391,1481
E01008392,1549
E01008432,1353
E01008288,1318
E01008289,1581
E01008290,1280
E01008291,2132
E01008292,1342
E01008388,1792
E01008389,1735
E01008426,1648
E01008429,1424
E01008331,1866
E01008332,2248
E01008333,1836
E01008334,2021
E01008335,2066
E01008437,1207
E01008438,1647
E01008390,1781
E01008425,1781
E01008427,1167
E01008428,1293
E01008441,1649
E01008442,1375
E01008444,1542
E01008445,1917
E01008446,1414
E01008447,1312
E01008448,1477
E08000022,201206
E01008547,1381
E01008548,1295
E01008549,1485
E01008551,1458
E01008478,1562
E01008480,1548
E01008504,1534
E01008578,1396
E01008583,1469
E01008520,1372
E01008523,1314
E01008546,1476
E01008550,1618
E01008577,1362
E01008579,1495
E01008580,1392
E01008581,1361
E01008582,1351
E01008517,1595
E01008519,1358
E01008521,1481
E01008522,1600
E01008584,1546
E01008585,1613
E01008587,1389
E01008588,1579
E01008589,1446
E01008518,1643
E01008564,1452
E01008565,2043
E01008567,1417
E01008475,1668
E01008476,1709
E01008477,1649
E01008479,1362
E01008552,1628
E01008553,1827
E01008554,1690
E01008555,1628
E01008586,1553
E01008495,1725
E01008496,1500
E01008497,1448
E01008498,1509
E01008568,1482
E01008569,1464
E01008570,1338
E01032647,1739
E01032648,1536
E01008500,1601
E01008505,1669
E01008506,1394
E01008507,1497
E01008493,1501
E01008494,1510
E01008556,1982
E01008557,1637
E01008470,1408
E01008499,1690
E01008502,1635
E01008516,1315
E01008488,1425
E01008489,1737
E01008490,1558
E01008491,1588
E01008558,1529
E01008560,1698
E01008561,1587
E01008562,1498
E01008525,1553
E01008527,1496
E01008559,1528
E01008563,1448
E01008469,1469
E01008472,1493
E01008473,1288
E01008501,2113
E01008503,1642
E01008471,1630
E01008474,1465
E01008513,2252
E01008514,1817
E01032649,1101
E01032650,1040
E01008486,1424
E01008487,1431
E01008526,1463
E01008530,1605
E01008461,1429
E01008466,1331
E01008467,1411
E01008468,1444
E01008483,1573
E01008524,1682
E01008528,1431
E01008529,1620
E01008481,1487
E01008482,1682
E01008484,1356
E01008485,1564
E01008492,1733
E01008462,1250
E01008463,1333
E01008464,1387
E01008465,1427
E01008531,1441
E01008532,1524
E01008534,1374
E01008538,1254
E01008508,1568
E01008509,1623
E01008510,1557
E01008512,1553
E01008539,1436
E01008540,1648
E01008541,1581
E01008544,1634
E01008545,1289
E01008511,1703
E01008542,1590
E01008543,2250
E01008571,1797
E01008572,1671
E01008573,1620
E01008574,1593
E01008576,2099
E01008533,1494
E01008535,1470
E01008536,1441
E01008537,1317
E01008575,1336
E08000023,148164
E01008595,1564
E01008596,1491
E01008597,2376
E01008598,1580
E01008599,1474
E01008664,1484
E01008665,1432
E01008666,1394
E01008667,1573
E01008668,1522
E01008673,1198
E01008675,1427
E01008676,1239
E01008677,1423
E01008678,1272
E01008647,1460
E01008648,1374
E01008649,1640
E01008651,1923
E01008679,1301
E01008680,1420
E01008682,1241
E01008683,1443
E01008635,1365
E01008650,1421
E01008674,1262
E01008681,1396
E01008600,1323
E01008604,1623
E01008660,1414
E01008661,1130
E01008633,1420
E01008634,1315
E01008636,1444
E01008637,1453
E01008639,1955
E01008652,1099
E01008653,1276
E01008654,1243
E01008655,1468
E01008657,1367
E01008638,1414
E01008640,1978
E01008641,1505
E01008642,1435
E01008590,1497
E01008591,1413
E01008592,1465
E01008594,1777
E01008601,1540
E01008669,1375
E01008671,1222
E01008672,1316
E01008622,1605
E01008625,1472
E01033074,2114
E01008602,1467
E01008603,1299
E01008608,1137
E01008670,1520
E01008643,1429
E01008644,1498
E01008645,1456
E01008646,1400
E01008656,1412
E01008658,1444
E01008593,1269
E01008605,1161
E01008606,1409
E01008607,1384
E01008609,1470
E01008631,1473
E01008632,1236
E01008659,1480
E01008662,1247
E01008663,1398
E01008624,1420
E01008684,1208
E01008685,1856
E01008686,1706
E01008687,1697
E01008688,1413
E01008689,1531
E01008690,1431
E01008691,1262
E01008692,1367
E01008627,1319
E01008628,1446
E01008629,1418
E01008630,1444
E01008610,1406
E01008611,1475
E01008612,1473
E01008613,1555
E01008616,1571
E01008618,1274
E01008619,1569
E01008621,1419
E01008614,1635
E01008615,1393
E01008617,1486
E01008620,1448
E08000024,275330
E01008713,1601
E01008722,1480
E01008724,1202
E01008726,1496
E01008723,1408
E01008725,1410
E01008727,1539
E01008728,1453
E01008792,1303
E01008698,1471
E01008837,1297
E01008838,1592
E01008839,1367
E01008840,1461
E01008841,1208
E01008712,1646
E01008817,1158
E01008819,1409
E01008821,1389
E01008822,1622
E01008842,1445
E01008708,1479
E01008709,1414
E01008711,1465
E01008820,1154
E01033075,2073
E01008786,1432
E01008787,1638
E01008788,1512
E01008789,1395
E01008790,1519
E01008791,1786
E01008855,1488
E01008856,1382
E01008876,1517
E01008877,1452
E01008693,1251
E01008694,1428
E01008695,1532
E01008696,1308
E01008697,1305
E01008699,1412
E01008853,1371
E01008854,1526
E01008857,1387
E01008858,1364
E01008859,1383
E01008860,1400
E01008878,1575
E01008873,1295
E01008874,1804
E01008875,1568
E01008879,1446
E01008880,1156
E01008701,1839
E01008704,1534
E01008706,1653
E01008707,1621
E01008756,1515
E01008762,1516
E01008812,1721
E01033076,1552
E01008700,1261
E01008703,2189
E01008705,1134
E01008831,2247
E01008834,1838
E01008810,1659
E01008811,1651
E01008813,1593
E01008814,1554
E01008757,1481
E01008758,1441
E01008759,1487
E01008761,1436
E01008702,1102
E01008735,2005
E01008736,1230
E01008737,1386
E01008738,1319
E01008836,1514
E01008845,1419
E01008846,1179
E01008847,1379
E01008850,1724
E01008851,1594
E01008760,1492
E01008830,1530
E01008832,1571
E01008833,1472
E01008843,1280
E01008844,1421
E01008848,1332
E01008849,1258
E01008852,1248
E01008867,1667
E01008868,1218
E01008869,1316
E01008870,1441
E01008871,1463
E01008872,1471
E01008729,1075
E01008730,1665
E01008731,1275
E01008732,2109
E01008733,1641
E01008734,1411
E01008740,1447
E01008781,1553
E01008782,1457
E01008783,1405
E01008784,1583
E01008785,1435
E01008835,1570
E01008823,1407
E01008824,1506
E01008825,1535
E01008826,1450
E01008827,1244
E01008828,1589
E01008829,1367
E01008739,1586
E01008741,1454
E01008779,1445
E01008780,1920
E01008799,1662
E01008861,1522
E01008862,1434
E01008863,1617
E01008864,1287
E01008865,1372
E01008866,1409
E01008773,1400
E01008776,1243
E01008777,1337
E01008778,1381
E01008809,1542
E01008803,1434
E01008804,1631
E01008805,1426
E01033077,1788
E01008763,1501
E01008764,1491
E01008766,2268
E01008768,1432
E01008769,1720
E01008772,1370
E01008774,1305
E01008775,1404
E01008802,1418
E01008808,1437
E01008793,1704
E01008795,1785
E01008797,1996
E01008800,1435
E01008801,1594
E01008765,1536
E01008767,1483
E01008770,1399
E01008771,1522
E01008720,1391
E01008721,1613
E01008796,1590
E01032483,1704
E01032484,1292
E01008750,1905
E01008751,1038
E01008752,1638
E01008753,1211
E01008755,1338
E01008714,1291
E01008715,1305
E01008716,1340
E01008717,1636
E01008749,1426
E01008754,1420
E01008718,1392
E01008719,1226
E01008742,1690
E01008747,1410
E01008748,1344
E01008743,1686
E01008744,1620
E01008745,1644
E01008746,1639
E06000008,147657
E01012607,1501
E01012608,1681
E01012633,1592
E01012634,1389
E01012635,1641
E01012636,1493
E01012581,1241
E01012582,1638
E01012583,1647
E01012587,1992
E01012588,2111
E01012574,1451
E01012577,1923
E01012578,1989
E01012605,1901
E01012606,1687
E01012579,1662
E01012580,2183
E01012642,1746
E01012645,1994
E01012585,1631
E01012586,1632
E01012656,1669
E01012657,2029
E01012658,1824
E01012629,1146
E01012631,1287
E01012643,1634
E01012644,2557
E01012655,1855
E01012571,1483
E01012572,1554
E01012573,1807
E01012575,1283
E01012630,2284
E01012576,1638
E01012637,1587
E01012638,1662
E01012639,1808
E01012640,1753
E01012641,1714
E01012595,1915
E01012596,1800
E01012622,1655
E01012623,1532
E01012624,1572
E01012625,1634
E01012584,1473
E01012609,1572
E01012610,1275
E01012611,1056
E01012612,1390
E01012613,1341
E01012600,1439
E01012601,1535
E01012602,1610
E01012603,1584
E01012604,1688
E01012632,2090
E01012594,1477
E01012618,1464
E01012619,1399
E01012620,1382
E01012621,1495
E01012593,1778
E01012597,1768
E01012598,2994
E01012599,1170
E01012589,1422
E01012590,1356
E01012591,1550
E01012648,1181
